# DVR Export: master_status
# ExportTime: 20260410_230429
# FrameCount: 480
# FirstFrameTimestamp: 0
# LastFrameTimestamp: 0
# MasterSuffix.freqShiftDone: 0
# MasterSuffix.tpFreq1: 0
# MasterSuffix.tpFreq2: 1037
# MasterSuffix.penF0NoiseCount: 64
# MasterSuffix.penF1NoiseCount: 93
# MasterSuffix.touchX: 22
# MasterSuffix.touchY: 36
Frame,Timestamp,MasterWasRead,PeakCount,ContactCount,P0_R,P0_C,P0_Z,P1_R,P1_C,P1_Z,C0_ID,C0_X,C0_Y,C0_State,C0_Area,C0_SigSum,C1_ID,C1_X,C1_Y,C1_State,C1_Area,C1_SigSum
0,0,1,4,4,19,45,1404,7,36,1723,14,47.1112,19.059,1,8,4131,13,43.779,21.4712,1,8,4131
1,0,1,4,4,7,36,1144,19,44,1194,15,36.8496,7.46958,1,11,3874,14,46.6072,19.0552,1,7,3982
2,0,1,4,4,19,44,1209,7,35,1246,14,46.0605,19.0532,1,7,3698,15,36.4909,7.31196,1,11,3818
3,0,1,4,4,6,35,1277,19,43,1658,15,36.0876,7.13604,1,12,4263,14,45.3974,19.0575,1,6,3991
4,0,1,4,4,6,34,1412,20,38,1556,15,35.643,6.99974,1,11,3975,13,41.0178,21.103,1,6,4316
5,0,1,5,5,18,25,855,6,34,1195,16,25.9062,18.1289,0,6,2084,15,35.1623,6.89762,1,16,3891
6,0,1,5,5,18,25,766,6,33,1475,16,25.1289,18.0664,0,7,2693,15,34.6137,6.82564,1,14,4374
7,0,1,4,5,6,33,1072,20,36,1527,15,34.0815,6.79323,1,12,4452,13,38.6255,20.9407,1,8,4650
8,0,1,4,5,19,39,1277,6,32,1341,14,41.5512,19.4332,1,7,3604,15,33.5302,6.82408,1,12,4433
9,0,1,5,5,18,23,1164,19,39,1404,17,23.1289,18.1758,0,7,3260,14,40.8151,19.6163,1,8,4429
10,0,1,5,5,18,22,1606,20,38,1623,17,22.582,18.4062,0,7,3240,14,40.1402,19.8146,1,6,3791
11,0,1,5,5,18,21,1050,20,38,1952,17,22.4578,18.4463,1,9,3395,14,39.5209,20.0484,1,8,3740
12,0,1,5,5,18,21,1189,7,30,1241,17,22.2169,18.5371,1,9,3573,15,31.1902,7.39635,1,17,4826
13,0,1,5,5,19,20,1356,21,37,1525,17,21.9003,18.6642,1,7,3439,14,38.2966,20.597,1,6,4151
14,0,1,4,5,8,28,1827,21,36,2019,15,29.9943,7.91901,1,18,5741,14,37.7393,20.9075,1,8,4906
15,0,1,5,5,21,36,1586,19,19,1685,14,37.2158,21.2244,1,8,4058,17,21.1693,18.9791,1,8,3911
16,0,1,5,5,22,35,1397,19,19,1462,14,36.7356,21.565,1,5,4013,17,20.6539,19.2208,1,9,4268
17,0,1,5,5,20,18,1680,23,31,1818,17,20.1529,19.4953,1,9,4199,13,31.9642,22.654,1,9,5516
18,0,1,5,5,22,35,1509,9,27,1679,14,35.9012,22.2782,1,6,4413,15,27.935,9.25886,1,14,6170
19,0,1,5,5,23,35,1652,23,30,1951,14,35.5887,22.6261,1,7,4330,13,31.097,23.3099,1,9,5315
20,0,1,5,5,23,34,1714,24,30,1771,14,35.3489,22.986,1,6,4378,13,30.7237,23.668,1,8,4843
21,0,1,5,5,24,34,1419,24,29,2009,14,35.1793,23.3747,1,5,4241,13,30.4087,24.0423,1,7,5047
22,0,1,5,5,25,29,1825,24,34,1946,13,30.1507,24.4512,1,9,4954,14,35.0679,23.7485,1,6,4310
23,0,1,5,5,24,34,1484,26,25,2383,14,35.0243,24.108,1,6,4454,10,24.9464,25.9406,1,11,8016
24,0,1,5,5,25,34,1240,13,26,1796,14,35.0169,24.4469,1,5,4257,15,26.6633,11.9437,1,18,5838
25,0,1,5,5,24,19,1797,13,26,1833,17,18.6899,23.4602,1,7,5944,15,26.7143,12.4646,1,14,5691
26,0,1,5,5,13,27,1297,26,29,1646,15,26.84,12.9639,1,17,5217,13,29.865,26.2191,1,9,5690
27,0,1,5,5,25,19,1756,14,27,2103,17,19.2673,24.6499,1,8,6064,15,27.0576,13.4891,1,19,5371
28,0,1,5,5,15,27,1465,25,35,1854,15,27.3523,14.053,1,15,5276,14,35.5033,25.4253,1,6,4889
29,0,1,5,5,26,21,1605,25,36,1665,17,20.2099,25.8391,1,9,4721,14,35.6987,25.5827,1,7,4791
30,0,1,5,5,16,28,1208,25,36,1651,15,28.0803,15.0675,1,14,4288,14,35.9539,25.7183,1,6,4813
31,0,1,5,5,26,36,1561,16,29,1702,14,36.2413,25.8273,1,7,4442,15,28.5259,15.5095,1,14,4281
32,0,1,5,5,16,30,1042,26,37,1839,15,28.9887,15.8938,1,15,4476,14,36.6032,25.9213,1,7,4543
33,0,1,5,5,17,30,1460,26,37,1835,15,29.4431,16.2467,1,13,3954,14,36.9892,26.0009,1,7,4680
34,0,1,5,5,17,31,971,29,34,2230,15,29.9458,16.5228,1,11,3600,13,33.2218,28.7344,1,9,7333
35,0,1,5,5,26,39,1434,29,35,1440,14,37.8995,26.12,1,10,4367,13,33.7891,28.8505,1,10,6839
36,0,1,5,5,17,32,1206,29,35,2129,15,31.0084,16.8525,1,11,3843,13,34.3548,28.9154,1,9,7558
37,0,1,4,5,26,40,1689,28,26,1780,14,38.8816,26.1636,1,9,4659,17,25.0674,28.5793,1,7,4673
38,0,1,5,5,16,33,1090,28,26,1719,15,31.9318,16.8987,1,11,3205,17,25.5907,28.4848,1,8,3747
39,0,1,5,5,27,27,826,25,41,1194,17,26.1212,28.2859,1,8,2808,14,39.8394,26.081,1,9,6116
40,0,1,4,5,16,34,1032,25,41,1992,15,32.9713,16.5896,1,10,3316,14,40.2704,25.9976,1,8,4650
41,0,1,3,5,27,38,1951,29,33,2269,13,36.9978,28.2966,1,9,6312,10,33.102,30.274,1,9,6312
42,0,1,4,4,15,34,1145,27,38,2113,15,33.7634,16.1064,1,11,3189,13,37.4005,28.0051,1,7,4868
43,0,1,4,4,14,35,894,25,42,1619,15,34.1702,15.7392,1,10,3062,14,41.2968,25.5945,1,7,4635
44,0,1,3,4,26,38,1439,24,42,1845,13,38.1137,27.2463,1,7,4060,14,41.5937,25.4036,1,7,4604
45,0,1,3,4,14,35,1006,24,42,2336,15,34.8212,15.0403,1,12,3416,14,41.5079,25.3074,1,16,7757
46,0,1,3,4,13,35,985,24,42,1783,15,35.1593,14.5631,1,11,3316,14,41.5917,25.1091,1,16,6487
47,0,1,3,3,12,36,1016,24,43,1246,15,35.4598,14.0769,1,10,3273,14,41.8074,24.8442,1,16,5438
48,0,1,2,3,23,43,2107,27,35,2119,14,42.2633,24.4821,1,8,4400,10,35.109,28.1532,1,12,8179
49,0,1,2,3,23,43,2091,26,36,2676,14,42.5468,24.1328,1,14,5108,10,35.4339,27.5906,1,11,7287
50,0,1,3,3,11,36,1506,22,43,1511,18,36.75,11.3672,0,12,3759,14,42.8793,23.7494,1,12,4562
51,0,1,3,3,10,36,1042,22,44,1751,18,36.832,10.9023,0,10,3983,14,43.2562,23.3387,1,7,4272
52,0,1,3,3,10,36,1301,22,44,1469,18,36.8603,10.7927,1,12,4165,14,43.5893,22.9261,1,8,3919
53,0,1,3,3,9,37,1043,21,44,2117,18,36.9016,10.5904,1,10,4377,14,43.8899,22.5149,1,7,4221
54,0,1,2,3,9,37,1567,23,37,2383,18,36.9545,10.292,1,8,4426,10,36.9023,24.7778,1,11,6693
55,0,1,3,3,21,44,1096,8,37,1390,14,44.3535,21.8384,1,7,3753,18,37.0181,9.95529,1,10,4521
56,0,1,3,3,20,45,1239,8,37,2071,14,44.5739,21.4873,1,6,3677,18,37.0985,9.56848,1,10,4703
57,0,1,3,3,8,37,1610,20,45,1753,18,37.2017,9.16287,1,11,4628,14,44.756,21.1496,1,7,4015
58,0,1,3,3,20,45,1802,7,37,2122,14,44.9131,20.8532,1,8,3928,18,37.3019,8.72574,1,12,4658
59,0,1,3,3,20,45,1610,7,37,1837,14,45.0518,20.5889,1,8,3888,18,37.4206,8.29045,1,11,4442
60,0,1,3,3,6,37,1406,19,45,1629,18,37.533,7.85808,1,10,4424,14,45.1806,20.361,1,7,4267
61,0,1,3,3,6,37,1596,19,45,1905,18,37.6343,7.42273,1,9,4363,14,45.2922,20.1679,1,7,4189
62,0,1,4,4,6,37,1310,19,41,1503,18,37.7086,7.02434,1,10,4138,19,41.9453,19.3672,0,6,3605
63,0,1,4,4,5,37,1269,19,41,1741,18,37.7706,6.64308,1,10,4258,19,41.9414,19.3359,0,6,4222
64,0,1,4,4,5,37,1606,19,41,1829,18,37.7963,6.30697,1,9,4429,19,41.9398,19.34,1,7,4679
65,0,1,4,4,5,37,1803,19,41,1912,18,37.8002,6.02512,1,10,4276,19,41.9344,19.3481,1,7,5004
66,0,1,4,4,5,37,1828,19,41,2051,18,37.7867,5.7942,1,12,4313,19,41.922,19.3513,1,7,5049
67,0,1,4,4,5,37,1865,19,41,2119,18,37.7576,5.62502,1,11,4412,19,41.9089,19.3611,1,7,5258
68,0,1,4,4,5,37,1983,19,41,2220,18,37.7072,5.51166,1,11,4642,19,41.8837,19.3764,1,7,5310
69,0,1,4,4,5,37,2103,19,45,2327,18,37.6486,5.45075,1,11,4700,14,45.6627,19.489,1,8,5012
70,0,1,5,5,17,30,1063,5,37,2108,20,30.832,17.8164,0,6,2871,18,37.5561,5.43466,1,11,5035
71,0,1,5,5,18,30,1461,5,37,1846,20,30.6602,18.0625,0,9,3181,18,37.4375,5.45442,1,12,5022
72,0,1,5,5,5,36,1457,18,30,1769,18,37.2951,5.51887,1,10,4962,20,30.6056,18.1328,1,7,3474
73,0,1,5,5,18,30,1500,20,41,1537,20,30.5128,18.2451,1,8,3769,19,41.573,19.67,1,6,5030
74,0,1,5,5,18,29,1066,20,41,1724,20,30.3884,18.3951,1,6,3926,19,41.4607,19.783,1,7,4882
75,0,1,5,5,19,29,1769,20,40,1770,20,30.2457,18.5683,1,6,3878,19,41.3378,19.9289,1,6,4981
76,0,1,5,5,19,45,1610,6,35,1829,14,45.3799,19.7209,1,6,4511,18,36.5268,6.05536,1,12,5181
